Close,High,Low,Open,Volume,MA50,MA200,RSI,MACD,MACD_Signal,MACD_Histogram,MA41,MA257,Signal,Position,Position_Actual,Strategy_Returns,Cumulative_Returns,Buy_Hold_Returns
1.2931926250457764,1.302999496459961,1.2931926250457764,1.2992074489593506,0,,,,,,,,,0,,0,,,
1.2956053018569946,1.2971009016036987,1.293292999267578,1.293292999267578,0,,,,,,,,,0,0.0,0,0.0,1.0,1.0018656747374606
1.289507269859314,1.2959076166152954,1.2861074209213257,1.2958067655563354,0,,,,,,,,,0,0.0,0,-0.0,1.0,0.9971501885217355
1.2937949895858765,1.295303225517273,1.2880953550338743,1.289507269859314,0,,,,,,,,,0,0.0,0,0.0,1.0,1.0004657964547847
1.2915056943893433,1.297993302345276,1.2914056777954102,1.2937949895858765,0,,,,,,,,,0,0.0,0,-0.0,1.0,0.9986955302529865
1.2966973781585691,1.3016934394836426,1.291605830192566,1.291605830192566,0,,,,,,,,,0,0.0,0,0.0,1.0,1.002710155505773
1.2909055948257446,1.30430805683136,1.2878963947296145,1.2967981100082395,0,,,,,,,,,0,0.0,0,-0.0,1.0,0.998231485259243
1.285000205039978,1.2907055616378784,1.2821005582809448,1.289706826210022,0,,,,,,,,,0,0.0,0,-0.0,1.0,0.9936649654141754
1.2857933044433594,1.287697434425354,1.280393362045288,1.284901142120361,0,,,,,,,,,0,0.0,0,0.0,1.0,0.9942782533250567
1.2867032289505005,1.2907055616378784,1.2843070030212402,1.2857933044433594,0,,,,,,,,,0,0.0,0,0.0,1.0,0.994981879752797
1.285000205039978,1.2938953638076782,1.284406065940857,1.2870012521743774,0,,,,,,,,,0,0.0,0,-0.0,1.0,0.9936649654141754
1.2934937477111816,1.2943978309631348,1.2813942432403564,1.284901142120361,0,,,,,,,,,0,0.0,0,0.0,1.0,1.0002328521363124
1.2971009016036987,1.3000012636184692,1.2911056280136108,1.2921065092086792,0,,,,,,,,,0,0.0,0,0.0,1.0,1.0030221921175773
1.2915056943893433,1.3000012636184692,1.2869019508361816,1.2971009016036987,0,,,49.63192060235153,,,,,,0,0.0,0,-0.0,1.0,0.9986955302529865
1.291205644607544,1.2954038381576538,1.2861074209213257,1.291605830192566,0,,,49.18877787410287,,,,,,0,0.0,0,-0.0,1.0,0.9984635077561147
1.2794922590255735,1.2914056777954102,1.27790629863739,1.291305661201477,0,,,35.764104933811865,,,,,,0,0.0,0,-0.0,1.0,0.9894057808907486
1.2870012521743774,1.2939958572387695,1.2782983779907229,1.2794922590255735,0,,,45.94838449175668,,,,,,0,0.0,0,0.0,1.0,0.9952123351529476
1.3017951250076294,1.304103970527649,1.2880953550338743,1.291305661201477,0,,,59.5538774556286,,,,,,0,0.0,0,0.0,1.0,1.006652141216432
1.3065063953399658,1.307805061340332,1.298701286315918,1.3017951250076294,0,,,62.768002487182585,,,,,,0,0.0,0,0.0,1.0,1.0102952723641756
1.3086949586868286,1.3103067874908447,1.2996971607208252,1.3065063953399658,0,,,64.19156642357927,,,,,,0,0.0,0,0.0,1.0,1.0119876446407228
1.3046995401382446,1.3116990327835083,1.302999496459961,1.3090033531188965,0,,,59.70360573284989,,,,,,0,0.0,0,-0.0,1.0,1.0088980673641414
1.3061991930007937,1.3091918230056765,1.3025072813034058,1.3049037456512451,0,,,60.81111438423682,,,,,,0,0.0,0,0.0,1.0,1.0100577189377005
1.2993931770324707,1.3059945106506348,1.2960082292556765,1.3056023120880127,0,,,53.60979616285815,,,,,,0,0.0,0,-0.0,1.0,1.004794762873377
1.2984988689422607,1.3015071153640747,1.2950012683868408,1.2994945049285889,0,,,52.72623887680295,,,,,,0,0.0,0,-0.0,1.0,1.0041032123086047
1.2921065092086792,1.298701286315918,1.2910054922103882,1.2983977794647217,0,,,46.790109604370656,,,,,,0,0.0,0,-0.0,1.0,0.9991601283396907
1.2905057668685913,1.2939958572387695,1.2884937524795532,1.292306900024414,0,,,45.411358233117895,0.0013230378722219,,,,,0,0.0,0,-0.0,1.0,0.9979223062944008
1.287597894668579,1.2978922128677368,1.2857933044433594,1.2905057668685913,0,,,42.93624796498644,0.0005127368518882,,,,,0,0.0,0,-0.0,1.0,0.9956737068640497
1.2846039533615112,1.2874983549118042,1.2842081785202026,1.2862067222595217,0,,,40.48930932589445,-0.0003667904546564,,,,,0,0.0,0,-0.0,1.0,0.993358551914135
1.288693070411682,1.2900062799453735,1.2833017110824585,1.284901142120361,0,,,45.091939061372585,-0.0007255014805154,,,,,0,0.0,0,0.0,1.0,0.9965205843685235
1.2950012683868408,1.2972019910812378,1.2878963947296145,1.288693070411682,0,,,51.3438048802833,-0.0004950569873092,,,,,0,0.0,0,0.0,1.0,1.0013985877324352
1.2956053018569946,1.298701286315918,1.2931926250457764,1.2950012683868408,0,,,51.90845913673364,-0.0002606826262119,,,,,0,0.0,0,0.0,1.0,1.0018656747374608
1.2811970710754397,1.2963947057724,1.28109872341156,1.2955045700073242,0,,,39.98767230887808,-0.0012234597831262,,,,,0,0.0,0,-0.0,1.0,0.9907240779617718
1.2854957580566406,1.287200093269348,1.2794922590255735,1.2819033861160278,0,,,44.11148741610177,-0.0016209146080412,,,,,0,0.0,0,0.0,1.0,0.9940481666535463
1.288693070411682,1.2887927293777466,1.2820019721984863,1.2855949401855469,0,,,47.02720546217892,-0.0016587826208003,-0.0006382568675547,-0.0010205257532455,,,0,0.0,0,0.0,1.0,0.9965205843685238
