date,reserves_usd_mn,reserves_chg_usd_mn
2014-01-31,7258.34367385,
2014-02-28,7275.10728106,16.763607209999464
2014-03-31,6785.60919159,-489.4980894700002
2014-04-30,7775.8436126,990.23442101
2014-05-31,7704.46709576,-71.37651683999957
2014-06-30,7494.0057609,-210.46133486000053
2014-07-31,7338.82243362,-155.1833272799995
2014-08-31,7342.86910602,4.046672399999807
2014-09-30,7195.07379968,-147.79530634000002
2014-10-31,7081.94971496,-113.1240847199997
2014-11-30,7252.19654105,170.24682608999956
2014-12-31,7211.41586513,-40.78067591999934
2015-01-31,7323.6687877,112.25292257000001
2015-02-28,7255.12856165,-68.54022605000046
2015-03-31,8341.92024381,1086.7916821600002
2015-04-30,8444.17245831,102.25221450000026
2015-05-31,8309.76278484,-134.4096734699997
2015-06-30,8270.95549068,-38.80729416000031
2015-07-31,8349.29518666,78.3396959799993
2015-08-31,8190.30242255,-158.99276410999937
2015-09-30,8051.99718987,-138.3052326800007
2015-10-31,7909.98395061,-142.01323925999986
2015-11-30,7895.12799432,-14.855956289999995
2015-12-31,7834.08813264,-61.039861679999376
2016-01-31,7786.833458,-47.2546746400003
2016-02-29,7784.107355,-2.7261029999999664
2016-03-31,7811.966176,27.858820999999807
2016-04-30,7898.753297,86.7871210000003
2016-05-31,7760.447664,-138.30563299999994
2016-06-30,7787.425948,26.978283999999803
2016-07-31,7960.516457,173.09050899999966
2016-08-31,8007.625907,47.109449999999924
2016-09-30,7699.162367,-308.46353999999974
2016-10-31,7715.316143,16.153776000000107
2016-11-30,7583.00487,-132.31127300000026
2016-12-31,7573.791291,-9.213579000000209
2017-01-31,7523.766708,-50.02458299999944
2017-02-28,7454.149166,-69.61754199999996
2017-03-31,7273.832417,-180.31674900000053
2017-04-30,7300.620892,26.78847500000029
2017-05-31,6832.917254,-467.70363799999996
2017-06-30,6812.550053,-20.367201000000023
2017-07-31,6865.38371,52.83365700000013
2017-08-31,6868.461957,3.078247000000374
2017-09-30,6898.137154,29.67519699999957
2017-10-31,6847.4798,-50.65735399999994
2017-11-30,6837.1,-10.379799999999705
2017-12-31,7149.8176,312.71759999999995
2018-01-31,7120.0503,-29.767300000000432
2018-02-28,7015.906,-104.14429999999993
2018-03-31,8473.939,1458.0330000000004
2018-04-30,8128.2202,-345.71880000000056
2018-05-31,8010.7202,-117.5
2018-06-30,8070.8545,60.13430000000062
