day_of_month,position
1,LONG USD
2,LONG USD
3,LONG USD
4,LONG USD
5,SHORT USD
6,SHORT USD
7,SHORT USD
8,SHORT USD
9,SHORT USD
10,SHORT USD
11,SHORT USD
12,SHORT USD
13,SHORT USD
14,SHORT USD
15,SHORT USD
16,LONG USD
17,LONG USD
18,LONG USD
19,LONG USD
20,LONG USD
21,LONG USD
22,LONG USD
23,LONG USD
24,LONG USD
25,LONG USD
26,LONG USD
27,LONG USD
28,LONG USD
29,LONG USD
30,LONG USD
31,LONG USD
